#key	theor	matrix_sites_cv_loo	matrix_sites	sequence_set1	sequence_set1_2perm
-51.4	<NULL>	<NULL>	<NULL>	<NULL>	      1
-51.3	<NULL>	<NULL>	<NULL>	<NULL>	      1
-51.2	<NULL>	<NULL>	<NULL>	<NULL>	      1
-51.1	<NULL>	<NULL>	<NULL>	<NULL>	      1
-17.9	2.5e-01	1.00000	1.00000	0.266237	0.264349
-17.8	2.4e-01	1.00000	1.00000	0.263195	0.261142
-17.7	2.4e-01	1.00000	1.00000	0.260189	0.25794
-17.6	2.4e-01	1.00000	1.00000	0.257118	0.254692
-17.5	2.3e-01	1.00000	1.00000	0.254064	0.251455
-17.4	2.3e-01	1.00000	1.00000	0.251001	0.248162
-17.3	2.3e-01	1.00000	1.00000	0.247892	0.244832
-17.2	2.2e-01	1.00000	1.00000	0.244835	0.241544
-17.1	2.2e-01	1.00000	1.00000	0.241679	0.238269
-17	2.2e-01	1.00000	1.00000	0.238611	0.234924
-16.9	2.1e-01	1.00000	1.00000	0.235484	0.231549
-16.8	2.1e-01	1.00000	1.00000	0.232335	0.228126
-16.7	2.1e-01	1.00000	1.00000	0.229162	0.224618
-16.6	2.0e-01	1.00000	1.00000	0.225892	0.221186
-16.5	2.0e-01	1.00000	1.00000	0.222641	0.217753
-16.4	2.0e-01	1.00000	1.00000	0.219437	0.214297
-16.3	1.9e-01	1.00000	1.00000	0.216225	0.210883
-16.2	1.9e-01	1.00000	1.00000	0.213049	0.20756
-16.1	1.9e-01	1.00000	1.00000	0.209907	0.204294
-16	1.8e-01	1.00000	1.00000	0.20674	0.200941
-15.9	1.8e-01	1.00000	1.00000	0.203455	0.197651
-15.8	1.8e-01	1.00000	1.00000	0.200189	0.194341
-15.7	1.7e-01	1.00000	1.00000	0.196899	0.191105
-15.6	1.7e-01	1.00000	1.00000	0.193661	0.187827
-15.5	1.7e-01	1.00000	1.00000	0.190326	0.184618
-15.4	1.7e-01	1.00000	1.00000	0.186933	0.181418
-15.3	1.6e-01	1.00000	1.00000	0.183655	0.178225
-15.2	1.6e-01	1.00000	1.00000	0.180497	0.175005
-15.1	1.6e-01	1.00000	1.00000	0.177515	0.171859
-15	1.5e-01	1.00000	1.00000	0.174503	0.168784
-14.9	1.5e-01	1.00000	1.00000	0.171618	0.165653
-14.8	1.5e-01	1.00000	1.00000	0.168652	0.162649
-14.7	1.5e-01	1.00000	1.00000	0.165713	0.159614
-14.6	1.4e-01	1.00000	1.00000	0.162839	0.156647
-14.5	1.4e-01	1.00000	1.00000	0.160093	0.153698
-14.4	1.4e-01	1.00000	1.00000	0.157325	0.150761
-14.3	1.4e-01	1.00000	1.00000	0.154591	0.148008
-14.2	1.3e-01	1.00000	1.00000	0.151886	0.145274
-14.1	1.3e-01	1.00000	1.00000	0.149252	0.142668
-14	1.3e-01	1.00000	1.00000	0.146646	0.140108
-13.9	1.3e-01	1.00000	1.00000	0.144294	0.13761
-13.8	1.2e-01	1.00000	1.00000	0.141856	0.135144
-13.7	1.2e-01	1.00000	1.00000	0.139477	0.132812
-13.6	1.2e-01	1.00000	1.00000	0.13712	0.13046
-13.5	1.2e-01	1.00000	1.00000	0.134884	0.128159
-13.4	1.1e-01	1.00000	1.00000	0.132633	0.125996
-13.3	1.1e-01	1.00000	1.00000	0.130427	0.123892
-13.2	1.1e-01	1.00000	1.00000	0.128118	0.12179
-13.1	1.1e-01	1.00000	1.00000	0.125874	0.119737
-13	1.1e-01	1.00000	1.00000	0.12375	0.117679
-12.9	1.0e-01	1.00000	1.00000	0.121739	0.115628
-12.8	1.0e-01	1.00000	1.00000	0.119689	0.113649
-12.7	1.0e-01	1.00000	1.00000	0.117717	0.111767
-12.6	9.9e-02	1.00000	1.00000	0.115721	0.109935
-12.5	9.7e-02	1.00000	1.00000	0.113868	0.10812
-12.4	9.6e-02	1.00000	1.00000	0.11201	0.106325
-12.3	9.4e-02	1.00000	1.00000	0.11018	0.104568
-12.2	9.2e-02	1.00000	1.00000	0.108354	0.102881
-12.1	9.0e-02	1.00000	1.00000	0.106566	0.101219
-12	8.9e-02	1.00000	1.00000	0.104812	0.0995432
-11.9	8.7e-02	1.00000	1.00000	0.103129	0.0979292
-11.8	8.6e-02	1.00000	1.00000	0.101523	0.0963318
-11.7	8.4e-02	1.00000	1.00000	0.0998959	0.0947885
-11.6	8.2e-02	1.00000	1.00000	0.0982916	0.093275
-11.5	8.1e-02	1.00000	1.00000	0.0967082	0.0917557
-11.4	7.9e-02	1.00000	1.00000	0.0952131	0.0902142
-11.3	7.8e-02	1.00000	1.00000	0.093752	0.0887683
