#key	theor	matrix_sites_cv_loo	matrix_sites	sequence_set1	sequence_set1_2perm
-51.9	1.0e+00	<NULL>	<NULL>	1	<NULL>
-28.7	6.9e-01	1.00000	1.00000	0.70147	0.708783
-28.6	6.9e-01	1.00000	1.00000	0.697129	0.70434
-28.5	6.8e-01	1.00000	1.00000	0.692867	0.700096
-28.4	6.8e-01	1.00000	1.00000	0.688823	0.695719
-28.3	6.7e-01	1.00000	1.00000	0.684792	0.691494
-28.2	6.7e-01	1.00000	1.00000	0.680765	0.687169
-28.1	6.6e-01	1.00000	1.00000	0.676735	0.682901
-28	6.6e-01	1.00000	1.00000	0.672749	0.678763
-27.9	6.6e-01	1.00000	1.00000	0.668803	0.674563
-27.8	6.5e-01	1.00000	1.00000	0.665023	0.670455
-27.7	6.5e-01	1.00000	1.00000	0.661157	0.666385
-27.6	6.4e-01	1.00000	1.00000	0.657414	0.66239
-27.5	6.4e-01	1.00000	1.00000	0.653506	0.658434
-27.4	6.4e-01	1.00000	1.00000	0.649762	0.654446
-27.3	6.3e-01	1.00000	1.00000	0.645959	0.65058
-27.2	6.3e-01	1.00000	1.00000	0.642197	0.646706
-27.1	6.2e-01	1.00000	1.00000	0.638452	0.642761
-27	6.2e-01	1.00000	1.00000	0.634857	0.638841
-26.9	6.2e-01	1.00000	1.00000	0.631183	0.635013
-26.8	6.1e-01	1.00000	1.00000	0.627462	0.631216
-26.7	6.1e-01	1.00000	1.00000	0.623807	0.627373
-26.6	6.0e-01	1.00000	1.00000	0.620043	0.623562
-26.5	6.0e-01	1.00000	1.00000	0.61632	0.619707
-26.4	6.0e-01	1.00000	1.00000	0.612618	0.615781
-26.3	5.9e-01	1.00000	1.00000	0.608845	0.611851
-26.2	5.9e-01	1.00000	1.00000	0.604921	0.607977
-26.1	5.9e-01	1.00000	1.00000	0.601128	0.603966
-26	5.8e-01	1.00000	1.00000	0.597283	0.599975
-25.9	5.8e-01	1.00000	1.00000	0.593486	0.595944
-25.8	5.7e-01	1.00000	1.00000	0.589503	0.591871
-25.7	5.7e-01	1.00000	1.00000	0.585396	0.587798
-25.6	5.7e-01	1.00000	1.00000	0.581282	0.583661
-25.5	5.6e-01	1.00000	1.00000	0.577102	0.579452
-25.4	5.6e-01	1.00000	1.00000	0.572954	0.575347
-25.3	5.5e-01	1.00000	1.00000	0.568673	0.570934
-25.2	5.5e-01	1.00000	1.00000	0.564291	0.566593
-25.1	5.4e-01	1.00000	1.00000	0.559744	0.56213
-25	5.4e-01	1.00000	1.00000	0.555162	0.557579
-24.9	5.4e-01	1.00000	1.00000	0.550553	0.553048
-24.8	5.3e-01	1.00000	1.00000	0.545872	0.548427
-24.7	5.3e-01	1.00000	1.00000	0.541177	0.543767
-24.6	5.2e-01	1.00000	1.00000	0.536505	0.539001
-24.5	5.2e-01	1.00000	1.00000	0.531723	0.534299
-24.4	5.1e-01	1.00000	1.00000	0.52692	0.529512
-24.3	5.1e-01	1.00000	1.00000	0.521947	0.524787
-24.2	5.0e-01	1.00000	1.00000	0.516986	0.519952
-24.1	5.0e-01	1.00000	1.00000	0.511803	0.515042
-24	4.9e-01	1.00000	1.00000	0.50677	0.510045
-23.9	4.9e-01	1.00000	1.00000	0.501476	0.505061
-23.8	4.8e-01	1.00000	1.00000	0.496455	0.499852
-23.7	4.8e-01	1.00000	1.00000	0.491205	0.494713
-23.6	4.7e-01	1.00000	1.00000	0.486154	0.489504
-23.5	4.7e-01	1.00000	1.00000	0.481018	0.484309
-23.4	4.6e-01	1.00000	1.00000	0.475631	0.479053
-23.3	4.6e-01	1.00000	1.00000	0.470324	0.473842
-23.2	4.5e-01	1.00000	1.00000	0.464953	0.468635
-23.1	4.5e-01	1.00000	1.00000	0.459547	0.46331
-23	4.4e-01	1.00000	1.00000	0.454138	0.458147
-22.9	4.3e-01	1.00000	1.00000	0.448926	0.45278
-22.8	4.3e-01	1.00000	1.00000	0.443637	0.447604
-22.7	4.2e-01	1.00000	1.00000	0.438457	0.44227
